t;x;y;q
1020;-13.7;-34.7;-1.5
1022;-13.6;-33.7;-1.5
1024;-13.8;-35.3;-1.4
1026;-13.5;-35;-1.5
1028;-13.8;-35;-1.2
1030;-13.5;-34.3;-1.5
1032;-13.7;-34.6;-1.5
1034;-13.8;-34.9;-1.4
1036;-13.7;-35.7;-1.6
1038;-13.8;-35.7;-1.5
1040;-13.6;-34.4;-1
1042;-13.9;-34.1;-1.4
1044;-13.4;-34.4;-1.5
1046;-13.8;-35.8;-1.3
1048;-14;-35.7;-1.8
1050;-13.8;-35;-1.7
1052;-13.4;-33.9;-1.4
1054;-13.7;-35;-1.8
1056;-13.6;-35.9;-1.3
1058;-13.9;-35.7;-1.4
1060;-13.7;-34.6;-1.9
1062;-13.6;-34.2;-1.4
1064;-13.6;-34.5;-1.3
1066;-13.8;-35.5;-1.4
1068;-13.9;-35.7;-1.7
1070;-13.6;-34.4;-1.4
1072;-13.7;-34.3;-1.5
1074;-13.5;-34.6;-1.3
1076;-13.6;-35.2;-1.3
1078;-13.4;-35.2;-1.9
1080;-13.8;-35.1;-1.4
1082;-13.6;-34;-1.1
1084;-13.5;-34.2;-1.8
1086;-13.5;-35.1;-1.6
1088;-14;-35.5;-1
1090;-13.7;-34.8;-1.7
1092;-13.6;-34.9;-1.6
1094;-13.9;-34.7;-1.3
1096;-13.6;-35;-1.2
1098;-13.9;-35.2;-1.5
1100;-13.9;-35.9;-1
1102;-13.6;-34.6;-1.2
1104;-13.6;-33.9;-1.7
1106;-13.9;-34.6;-1.3
1108;-13.5;-35;-1.6
1110;-13.5;-35.2;-2
1112;-13.9;-35.2;-1.1
1114;-13.5;-33.9;-1.4
1116;-13.6;-34.4;-1.7
1118;-13.9;-35.6;-1.1
1120;-13.7;-35.4;-1.8
1122;-13.7;-34.9;-1.9
1124;-13.8;-34.7;-0.6
1126;-13.8;-34.6;-1.7
1128;-13.5;-34.9;-1.7
1130;-13.5;-35;-1.2
1132;-13.7;-35.2;-1.6
1134;-13.8;-35;-1.4
1136;-13.8;-34.2;-1.2
1138;-13.6;-34.4;-1.7
1140;-13.7;-35.3;-1
1142;-14;-35.6;-1.9
1144;-13.4;-34.4;-1.8
1146;-13.6;-34.4;-1
1148;-13.5;-34.3;-1.5
1150;-13.9;-35;-2
1152;-13.4;-34.7;-1.1
1154;-13.5;-34.7;-1.5
1156;-13.7;-34.7;-1.6
1158;-13.5;-34.5;-1
1160;-13.3;-34.3;-1.4
1162;-13.8;-35.2;-1
1164;-13.5;-35.1;-1.8
1166;-13.7;-34.9;-1.5
1168;-13.6;-34.3;-1.8
1170;-13.6;-33.9;-1.8
1172;-13.7;-34.9;-1.3
1174;-13.4;-34.7;-1.3
1176;-13.4;-34.8;-1.8
1178;-13.9;-35.1;-0.8
1180;-13.5;-34.2;-1.5
1182;-13.4;-33.9;-2
1184;-13.6;-34.5;-1.1
1186;-13.7;-35.2;-1.7
1188;-13.8;-35.7;-1.3
1190;-13.7;-34.6;-1.2
1192;-13.6;-34;-2.1
1194;-13.7;-34.3;-1.3
1196;-13.9;-35.2;-1.6
1198;-13.5;-35.2;-1.4
1200;-13.8;-35;-1.1
1202;-13.8;-34.8;-1.8
1204;-13.5;-34;-1.7
1206;-13.6;-34.7;-0.9
1208;-13.8;-35.6;-2
1210;-13.5;-35;-1.1
1212;-13.9;-35;-1.4
1214;-13.7;-34;-2.2
1216;-13.8;-34.8;-1
1218;-13.9;-35.1;-1.5
1220;-13.6;-35.3;-1.6
1222;-13.5;-34.4;-0.9
1224;-13.6;-34;-1.1
1226;-13.6;-34.4;-1.7
1228;-13.9;-35.7;-1.2
1230;-13.9;-36;-1.4
1232;-13.5;-34.7;-2
1234;-13.7;-34.3;-1.6
1236;-13.7;-34.7;-1.4
1238;-13.9;-35.3;-1.5
1240;-13.6;-35.4;-1.2
1242;-13.6;-34.7;-1.5
1244;-13.8;-35.1;-1.3
1246;-13.7;-34.1;-1.2
1248;-14;-34.9;-2
1250;-13.9;-35.9;-1.4
1252;-13.7;-35;-1.5
1254;-13.6;-34.4;-1.5
1256;-13.8;-34.5;-1.1
1258;-13.5;-34.4;-1.9
1260;-13.6;-35.3;-1.6
1262;-13.6;-35.2;-1.2
1264;-13.4;-34.7;-1.7
1266;-13.5;-33.8;-0.9
1268;-13.8;-34.6;-1.6
1270;-13.7;-35.4;-1.8
1272;-13.3;-35.4;-0.8
1274;-13.6;-34.7;-1.9
1276;-13.7;-34.4;-1.6
1278;-13.4;-34.1;-1
1280;-13.9;-35.3;-2
1282;-13.8;-35;-1.2
1284;-13.8;-35.9;-1.4
1286;-13.5;-34.2;-1.7
1288;-13.8;-34.6;-1.1
1290;-13.8;-34.3;-1.6
1292;-13.5;-34.8;-1.8
1294;-13.5;-35.1;-0.6
1296;-13.5;-34.8;-1.9
1298;-13.7;-34.8;-1.8
1300;-13.9;-34.4;-0.9
1302;-13.9;-35.4;-1.8
1304;-13.6;-35.2;-2.2
1306;-13.5;-35.3;-1
1308;-13.4;-34.9;-1.4
1310;-13.8;-34.7;-1.5
1312;-13.6;-34.4;-1.1
1314;-13.8;-35.2;-2.1
